Academic Year,Term,Level of Statistics,School,Department Code,Department Name,No. of Sections Evaluated,Response Rate,Course Overall - Mean,Course Overall - SD,Instructor Overall - Mean,Instructor Overall - SD
25-26,Fall,Department,SSCI,CHEM,Chemistry,43.0,0.476,4.05,0.9,4.15,0.84
25-26,Fall,Department,SSCI,DASC,Data Analytics in Science,6.0,0.461,4.08,0.8,4.2,0.79
25-26,Fall,Department,SSCI,LIFS,Life Science,38.0,0.419,4.11,0.83,4.22,0.84
25-26,Fall,Department,SSCI,MATH,Mathematics,84.0,0.395,4.06,0.95,4.09,1.02
25-26,Fall,Department,SSCI,MSDM,MSc in Data-Driven Modeling Program,7.0,0.666,4.47,0.86,4.65,0.73
25-26,Fall,Department,SSCI,DRAP,MSc in Drug Regulatory Affairs and Policy,6.0,0.345,4.57,0.66,4.68,0.57
25-26,Fall,Department,SSCI,MSPY,MSc in Physics,7.0,0.693,4.29,0.93,4.43,0.78
25-26,Fall,Department,SSCI,MAED,MSc Program in Mathematics for Educators,5.0,0.759,4.65,0.6,4.71,0.6
25-26,Fall,Department,SSCI,NANO,NANO Science and Technology,1.0,0.75,4.67,0.82,4.83,0.41
25-26,Fall,Department,SSCI,OCES,Ocean Science,22.0,0.506,4.2,0.86,4.33,0.81
25-26,Fall,Department,SSCI,PHYS,Physics,39.0,0.431,4.0,0.99,4.14,0.96
25-26,Fall,Department,SSCI,SCIE,School of Science,2.0,0.556,4.48,1.0,4.36,1.11
25-26,Fall,Department,SSCI,MAFS,Self-Financed MSc Program in Mathematics (Financial Mathematics and Statistics),9.0,0.364,4.64,0.73,4.72,0.63
25-26,Fall,School,LANG/LABU/LAGR,-,-,327.0,0.629,4.04,1.0,4.38,0.83
25-26,Fall,Department,LANG/LABU/LAGR,LANG,Language,317.0,0.637,4.06,0.98,4.39,0.82
25-26,Fall,Department,LANG/LABU/LAGR,LABU,Language for Business,10.0,0.327,2.96,1.39,3.7,1.41
25-26,Fall,School,AIS,-,-,105.0,0.558,4.4,0.83,4.49,0.76
25-26,Fall,Department,AIS,CTDL,Critical Thinking and Data Literacy,4.0,0.302,3.77,1.09,3.98,1.08
25-26,Fall,Department,AIS,AMCC,Division of Arts and Machine Creativity,11.0,0.814,4.5,0.81,4.63,0.71
25-26,Fall,Department,AIS,EMIA,Division of Emerging Interdisciplinary Areas,9.0,0.681,4.34,0.86,4.51,0.7
25-26,Fall,Department,AIS,ENVR,Environment and Sustainability,19.0,0.465,4.06,1.0,4.28,0.89
25-26,Fall,Department,AIS,EVSM,Environmental Science and Management,5.0,0.575,4.56,0.61,4.61,0.59
25-26,Fall,Department,AIS,ISDN,Integrative Systems and Design,24.0,0.539,4.47,0.75,4.53,0.64
25-26,Fall,Department,AIS,AISC,Interdisciplinary Studies,1.0,1.0,4.78,0.44,4.78,0.44
25-26,Fall,Department,AIS,PPOL,Public Policy,25.0,0.646,4.57,0.67,4.6,0.69
25-26,Fall,Department,AIS,MTLE,Self-Financed MSc Program in Technology Leadership and Entrepreneurship,5.0,0.494,4.6,0.65,4.69,0.6
25-26,Fall,Department,AIS,TEMG,Technology and Management,2.0,0.439,4.61,0.5,4.72,0.46
25-26,Fall,School,OTHERS,-,-,15.0,0.525,4.3,0.96,4.47,0.8
25-26,Fall,Department,OTHERS,CEI,Center for Education Innovation,8.0,0.586,4.24,0.99,4.48,0.8
25-26,Fall,Department,OTHERS,DSTO,Dean of Students' Office,2.0,0.433,4.65,0.56,4.42,0.75
25-26,Fall,Department,OTHERS,UROP,Undergraduate Research Opportunities Program,5.0,0.406,4.39,0.92,4.47,0.82
,,,,,,,,,,,
"1. The response rate shown is the response rate for the instructor/course overall question, whichever is the higher. It is calculated as the number of responses received for the question divided by the maximum possible number of responses.",,,,,,,,,,,
2. A section may be counted towards multiple programmes / departments which are affiliated with the same or different school(s). Hence the total number of sections for all programmes / departments may not necessarily tally with the number of sections for their home school.,,,,,,,,,,,
,,,,,,,,,,,
Report prepared by HKUST,,,,,,,,,,,
15 February 2026,,,,,,,,,,,
