Academic Year,Term,Level of Statistics,School,Department Code,Department Name,Number of Sections Evaluated,Response Rate,Course Overall - Mean,Course Overall - SD,Instructor Overall - Mean,Instructor Overall - SD
23-24,FALL,School,LANG/LABU/LAGR,-,-,384.0,0.554,4.02,0.95,4.38,0.78
23-24,FALL,Dept,LANG/LABU/LAGR,LANG,Language,340.0,0.571,4.04,0.94,4.39,0.77
23-24,FALL,Dept,LANG/LABU/LAGR,LABU,Language for Business,44.0,0.431,3.87,1.03,4.29,0.9
23-24,FALL,School,AIS,-,-,64.0,0.584,4.34,0.82,4.43,0.77
23-24,FALL,Dept,AIS,CTDL,Critical Thinking and Data Literacy,2.0,0.439,3.9,0.68,4.07,0.82
23-24,FALL,Dept,AIS,EMIA,Division of Emerging Interdisciplinary Areas,5.0,0.794,4.35,0.96,4.63,0.64
23-24,FALL,Dept,AIS,ENVR,Environment and Sustainability,18.0,0.512,4.04,0.88,4.28,0.85
23-24,FALL,Dept,AIS,EVSM,Environmental Science and Management,3.0,0.57,4.47,0.58,4.54,0.6
23-24,FALL,Dept,AIS,ISDN,Integrative Systems and Design,12.0,0.476,4.38,0.87,4.47,0.8
23-24,FALL,Dept,AIS,IDPO,Interdisciplinary Programs Office,2.0,0.478,4.18,1.08,4.69,0.7
23-24,FALL,Dept,AIS,PPOL,Public Policy,19.0,0.688,4.56,0.7,4.6,0.67
23-24,FALL,Dept,AIS,TEMG,Technology and Management,3.0,0.745,4.56,0.71,4.73,0.49
23-24,FALL,School,OTHERS,-,-,12.0,0.656,4.51,0.68,4.72,0.54
23-24,FALL,Dept,OTHERS,CEI,Center for Education Innovation,10.0,0.665,4.5,0.7,4.75,0.51
23-24,FALL,Dept,OTHERS,DSTO,Dean of Students' Office,2.0,0.567,4.68,0.47,4.59,0.65
,,,,,,,,,,,
,,,,,,,,,,,
"Note 1: The response rate shown is the response rate for the instructor/course overall question, whichever is the higher. It is calculated as the number of responses received for the question divided by the maximum possible number of responses.",,,,,,,,,,,
Note 2: A section may be counted towards multiple programs/departments which are affiliated with the same or different school(s). Hence the total number of sections for all programs/departments may not necessarily tally with the number of sections for their home school. The same situation may also occur in the totals for schools and university.,,,,,,,,,,,
,,,,,,,,,,,
Report prepared by SEA,,,,,,,,,,,
2024-01-03 00:00:00,,,,,,,,,,,
