Academic Year,Term,Level of Statistics,School,Department Code,Department Name,Number of Sections Evaluated,Response Rate,Course Overall - Mean,Course Overall - SD,Instructor Overall - Mean,Instructor Overall - SD
21-22,FALL,Dept,SENG,COMP,Computer Science and Engineering,63.0,0.439,4.23,0.95,4.34,0.87
21-22,FALL,Dept,SENG,ELEC,Electronic and Computer Engineering,38.0,0.442,4.15,0.94,4.22,0.92
21-22,FALL,Dept,SENG,ENEG,Energy Technology,3.0,0.377,4.62,0.5,4.65,0.49
21-22,FALL,Dept,SENG,ENTR-SENG,Entrepreneurship,2.0,0.415,4.23,0.75,4.45,0.6
21-22,FALL,Dept,SENG,IEDA,Industrial Engineering and Decision Analytics,17.0,0.404,4.16,0.87,4.21,0.89
21-22,FALL,Dept,SENG,ISDN,Integrative Systems and Design,10.0,0.452,3.82,1.1,3.98,1.08
21-22,FALL,Dept,SENG,MECH,Mechanical Engineering,31.0,0.518,3.97,0.97,4.06,0.95
21-22,FALL,Dept,SENG,PDEV-SENG,Professional Development for SENG,1.0,0.313,4.57,0.81,4.63,0.72
21-22,FALL,Dept,SENG,ENGG,School of Engineering,4.0,0.533,3.91,1.09,4.03,1.02
21-22,FALL,School,SHSS,-,-,103.0,0.515,4.32,0.84,4.39,0.81
21-22,FALL,Dept,SHSS,HUMA,Humanities,38.0,0.456,4.24,0.89,4.33,0.84
21-22,FALL,Dept,SHSS,HMMA,MA Program in Chinese Culture,2.0,0.827,4.71,0.47,4.71,0.46
21-22,FALL,Dept,SHSS,MGCS,MSc Program in Global China Studies,8.0,0.748,4.56,0.8,4.57,0.81
21-22,FALL,Dept,SHSS,MILE,MSc Program in International Language Education,8.0,0.853,4.29,0.83,4.37,0.81
21-22,FALL,Dept,SHSS,MASS,Master of Arts in Social Science,6.0,0.565,4.74,0.59,4.78,0.5
21-22,FALL,Dept,SHSS,SOSC,Social Science,35.0,0.461,4.26,0.82,4.33,0.79
21-22,FALL,Dept,SHSS,HART,Studio Arts courses offered by HUMA,6.0,0.544,4.11,0.99,4.16,1.02
21-22,FALL,School,SSCI,-,-,243.0,0.482,4.05,0.93,4.11,0.93
21-22,FALL,Dept,SSCI,CHMS,Analytical Chemistry,4.0,0.216,4.59,0.79,4.69,0.65
21-22,FALL,Dept,SSCI,BIBU-SSCI,Biotechnology and Business,1.0,0.852,4,0.8,4.3,0.7
21-22,FALL,Dept,SSCI,CHEM,Chemistry,43.0,0.503,4.06,0.83,4.12,0.82
21-22,FALL,Dept,SSCI,DASC,Data Analytics in Science,1.0,0.0,-,-,-,-
21-22,FALL,Dept,SSCI,ENTR-SSCI,Entrepreneurship,2.0,0.415,4.23,0.75,4.45,0.6
21-22,FALL,Dept,SSCI,ENVS,Environmental Science,5.0,0.661,4.46,0.73,4.52,0.67
21-22,FALL,Dept,SSCI,LIFS,Life Science,24.0,0.469,4.08,0.83,4.11,0.86
21-22,FALL,Dept,SSCI,MAED,MSc Program in Mathematics for Educators,5.0,0.815,4.54,0.78,4.56,0.78
21-22,FALL,Dept,SSCI,MSDM,MSc in Data-Driven Modeling Program,6.0,0.637,4.35,0.74,4.39,0.72
21-22,FALL,Dept,SSCI,MATH,Mathematics,91.0,0.468,3.9,1.06,3.97,1.05
21-22,FALL,Dept,SSCI,NANO,NANO Science and Technology,1.0,0.615,4.75,0.46,4.88,0.35
21-22,FALL,Dept,SSCI,OCES,Ocean Science,10.0,0.406,3.82,0.96,3.82,0.99
21-22,FALL,Dept,SSCI,PHYS,Physics,38.0,0.501,3.96,0.94,4.11,0.89
21-22,FALL,Dept,SSCI,SCIE,School of Science,3.0,0.412,4.03,1.06,4.01,1.08
21-22,FALL,Dept,SSCI,MAFS,Self-Financed MSc Program in Mathematics (Financial Mathematics and Statistics),9.0,0.428,4.64,0.63,4.66,0.62
21-22,FALL,School,LANG/LABU/LAGR,-,-,373.0,0.64,4.08,0.95,4.4,0.74
21-22,FALL,Dept,LANG/LABU/LAGR,LANG,Language,327.0,0.656,4.09,0.93,4.4,0.73
21-22,FALL,Dept,LANG/LABU/LAGR,LABU,Language for Business,46.0,0.521,3.95,1.06,4.31,0.86
21-22,FALL,School,IPO,-,-,50.0,0.599,4.37,0.86,4.44,0.8
21-22,FALL,Dept,IPO,ENVR,Environment and Sustainability,21.0,0.562,4.18,0.86,4.3,0.82
21-22,FALL,Dept,IPO,EVSM,Environmental Science and Management,3.0,0.669,4.23,0.66,4.26,0.68
21-22,FALL,Dept,IPO,IIMP,Individualized Interdisciplinary Major,5.0,0.529,4.35,1.05,4.43,0.92
21-22,FALL,Dept,IPO,IDPO,Interdisciplinary Programs Office,2.0,0.577,4.47,0.64,4.47,0.64
21-22,FALL,Dept,IPO,PPOL,Public Policy,17.0,0.681,4.62,0.73,4.65,0.69
21-22,FALL,Dept,IPO,TEMG,Technology and Management,2.0,0.698,4.64,0.53,4.57,0.63
21-22,FALL,School,OTHERS,-,-,9.0,0.709,4.5,0.85,4.62,0.69
21-22,FALL,Dept,OTHERS,CEI,Center for Education Innovation,7.0,0.74,4.48,0.86,4.61,0.71
21-22,FALL,Dept,OTHERS,DSTO,Dean of Students' Office,2.0,0.42,4.83,0.38,4.86,0.35
21-22,FALL,School,FUNHUB,-,-,1.0,1.0,4.83,0.41,4.83,0.41
21-22,FALL,Dept,FUNHUB,EOAS,"Earth, Ocean and Atmospheric Sciences",1.0,1.0,4.83,0.41,4.83,0.41
21-22,FALL,School,INFHUB,-,-,10.0,0.667,4.42,0.91,4.51,0.77
21-22,FALL,Dept,INFHUB,CMAA,Computational Media and Arts,4.0,0.796,4.7,0.64,4.79,0.47
21-22,FALL,Dept,INFHUB,DSAA,Data Science and Analytics,4.0,0.594,4.42,1.06,4.47,0.8
21-22,FALL,Dept,INFHUB,INFH,Information Hub Core Course,1.0,0.653,4.34,0.93,4.43,0.82
21-22,FALL,Dept,INFHUB,IOTA,Internet of Things,1.0,0.875,5,0,5,0
21-22,FALL,School,SOCHUB,-,-,10.0,0.77,4.11,1.31,4.37,1.11
21-22,FALL,Dept,SOCHUB,FTEC,Financial Technology,3.0,0.619,4.04,1.4,4.08,1.41
21-22,FALL,Dept,SOCHUB,IPEN,Innovation Policy and Entrepreneurship,3.0,0.833,4.75,0.55,4.95,0.22
21-22,FALL,Dept,SOCHUB,SOCH,Society Hub Core Course,1.0,0.791,3.47,1.5,4.03,1.22
21-22,FALL,Dept,SOCHUB,UGOD,Urban Governance and Design,3.0,1.0,4.76,0.56,4.82,0.39
21-22,FALL,School,SYSHUB,-,-,5.0,0.691,4.09,1.35,4.25,1.19
21-22,FALL,Dept,SYSHUB,BSBE,Bioscience & Biomedical Engineering,1.0,0.857,4.92,0.29,4.92,0.29
21-22,FALL,Dept,SYSHUB,INTR,Intelligent Transportation,1.0,0.5,5,0,5,0
21-22,FALL,Dept,SYSHUB,ROAS,Robotics and Autonomous Systems,1.0,0.857,4.92,0.29,4.92,0.29
21-22,FALL,Dept,SYSHUB,SMMG,Smart Manufacturing,1.0,0.75,4.67,0.58,5,0
21-22,FALL,Dept,SYSHUB,SYSH,Systems Hub Core Course,1.0,0.632,3.39,1.5,3.67,1.35
,,,,,,,,,,,
,,,,,,,,,,,
"Note 1: The response rate shown is the response rate for the instructor/course overall question, whichever is the higher. It is calculated as the number of responses received for the question divided by the maximum possible number of responses.",,,,,,,,,,,
Note 2: A section may be counted towards multiple programs/departments which are affiliated with the same or different school(s). Hence the total number of sections for all programs/departments may not necessarily tally with the number of sections for their home school. The same situation may also occur in the totals for schools and university.,,,,,,,,,,,
,,,,,,,,,,,
Report prepared by OIR,,,,,,,,,,,
2022-01-12 00:00:00,,,,,,,,,,,
