Academic Year,Term,Level of Statistics,School,Department Code,Department Name,Number of Sections Evaluated,Response Rate,Course Overall - Mean,Course Overall - SD,Instructor Overall - Mean,Instructor Overall - SD
18-19,SPRING,Dept,SHSS,HUMA,Humanities,44.0,0.496,71.7,26.6,77.0,24.9
18-19,SPRING,Dept,SHSS,HMMA,MA Program in Chinese Culture,2.0,0.717,91.4,15.7,94.1,14.7
18-19,SPRING,Dept,SHSS,MGCS,MSc Program in Global China Studies,5.0,0.492,80.9,29.1,87.9,21.8
18-19,SPRING,Dept,SHSS,MILE,MSc Program in International Language Education,9.0,0.827,79.5,22.9,84.0,20.2
18-19,SPRING,Dept,SHSS,HSS,School of Humanities & Social Science,1.0,0.429,95.8,10.2,95.8,10.2
18-19,SPRING,Dept,SHSS,SOSC,Social Science,32.0,0.415,75.2,23.4,78.4,22.9
18-19,SPRING,School,SSCI,-,-,243.0,0.458,73.4,24.2,76.6,24.2
18-19,SPRING,Dept,SSCI,CHMS,Analytical Chemistry,6.0,0.564,88.0,17.9,89.9,17.4
18-19,SPRING,Dept,SSCI,CHEM,Chemistry,43.0,0.45,69.9,22.0,73.7,22.2
18-19,SPRING,Dept,SSCI,ENTR-SSCI,Entrepreneurship,2.0,0.762,76.6,24.9,87.5,18.3
18-19,SPRING,Dept,SSCI,LIFS,Life Science,33.0,0.445,76.1,21.6,78.7,22.2
18-19,SPRING,Dept,SSCI,MAED,MSc Program in Mathematics for Educators,4.0,0.607,94.4,13.4,96.3,10.2
18-19,SPRING,Dept,SSCI,MATH,Mathematics,84.0,0.458,70.4,27.4,73.6,28.7
18-19,SPRING,Dept,SSCI,NANO,NANO Science and Technology,2.0,0.864,85.5,17.3,89.5,15.2
18-19,SPRING,Dept,SSCI,OCES,Ocean Science,10.0,0.482,81.7,20.8,85.1,20.4
18-19,SPRING,Dept,SSCI,PHYS,Physics,48.0,0.492,70.1,25.6,73.5,24.3
18-19,SPRING,Dept,SSCI,SCIE,School of Science,4.0,0.356,70.7,23.8,76.3,21.5
18-19,SPRING,Dept,SSCI,CSIC,Scientific Computation,1.0,0.714,95.0,11.2,100.0,0.0
18-19,SPRING,Dept,SSCI,MAFS,Self-Financed MSc Program in Mathematics (Financial Mathematics and Statistics),8.0,0.443,88.0,20.3,90.3,18.8
18-19,SPRING,School,LANG/LABU/LAGR,-,-,381.0,0.697,73.7,24.1,83.6,20.8
18-19,SPRING,Dept,LANG/LABU/LAGR,LANG,Language,323.0,0.706,73.9,24.2,84.0,20.5
18-19,SPRING,Dept,LANG/LABU/LAGR,LABU,Language for Business,58.0,0.64,72.4,23.5,80.9,22.3
18-19,SPRING,School,IPO,-,-,39.0,0.574,75.9,24.2,81.8,21.8
18-19,SPRING,Dept,IPO,ENVR,Environment and Sustainability,22.0,0.601,72.7,24.1,80.0,21.3
18-19,SPRING,Dept,IPO,EVSM,Environmental Science and Management,3.0,0.659,82.9,18.6,86.6,17.6
18-19,SPRING,Dept,IPO,PPOL,Public Policy,7.0,0.558,81.1,26.3,85.2,24.2
18-19,SPRING,Dept,IPO,RMBI,Risk Management and Business Intelligence,5.0,0.409,73.4,27.0,78.5,26.2
18-19,SPRING,Dept,IPO,TEMG,Technology and Management,2.0,0.58,81.4,19.9,84.8,18.1
18-19,SPRING,School,OTHERS,-,-,11.0,0.547,81.3,23.2,83.5,22.8
18-19,SPRING,Dept,OTHERS,DSTO,Dean of Students' Office,2.0,0.542,93.3,13.3,95.2,10.0
18-19,SPRING,Dept,OTHERS,UCE,Undergraduate Core Education,9.0,0.548,78.1,24.3,80.4,24.3
,,,,,,,,,,,
,,,,,,,,,,,
"Note 1: The response rate shown is the response rate for the instructor/course overall question, whichever is the higher. It is calculated as the number of responses received for the question divided by the maximum possible number of responses.",,,,,,,,,,,
,,,,,,,,,,,
Report prepared by OIR,,,,,,,,,,,
2019-06-14 00:00:00,,,,,,,,,,,
