Academic Year,Term,Level of Statistics,School,Department Code,Department Name,Number of Sections Evaluated,Response Rate,Course Overall - Mean,Course Overall - SD,Instructor Overall - Mean,Instructor Overall - SD
17-18,SPRING,Dept,SSCI,ENTR-SSCI,Entrepreneurship,2.0,0.463,73.3,27.8,80.8,23.4
17-18,SPRING,Dept,SSCI,LIFS,Life Science,32.0,0.369,74.7,21.1,76.8,22.9
17-18,SPRING,Dept,SSCI,MAED,MSc Program in Mathematics for Educators,4.0,0.458,85.5,18.0,92.8,16.3
17-18,SPRING,Dept,SSCI,MATH,Mathematics,84.0,0.446,71.4,26.8,75.0,27.2
17-18,SPRING,Dept,SSCI,NANO,NANO Science and Technology,3.0,0.842,82.8,27.0,85.9,27.3
17-18,SPRING,Dept,SSCI,OCES,Ocean Science,9.0,0.448,76.2,25.6,80.9,23.4
17-18,SPRING,Dept,SSCI,PHYS,Physics,51.0,0.538,68.9,26.0,72.0,23.8
17-18,SPRING,Dept,SSCI,SCIE,School of Science,5.0,0.465,72.5,28.4,75.7,26.0
17-18,SPRING,Dept,SSCI,CSIC,Scientific Computation,1.0,0.694,81.0,25.3,87.0,19.3
17-18,SPRING,Dept,SSCI,MAFS,Self-Financed MSc Program in Mathematics (Financial Mathematics and Statistics),6.0,0.367,90.8,16.5,91.7,16.3
17-18,SPRING,School,LANG/LABU/LAGR,-,-,371.0,0.705,73.9,24.0,83.3,21.1
17-18,SPRING,Dept,LANG/LABU/LAGR,LANG,Language,310.0,0.712,74.3,23.8,83.7,20.8
17-18,SPRING,Dept,LANG/LABU/LAGR,LABU,Language for Business,61.0,0.667,71.4,25.2,81.4,22.9
17-18,SPRING,School,IPO,-,-,34.0,0.605,72.2,24.7,78.3,23.4
17-18,SPRING,Dept,IPO,ENVR,Environment and Sustainability,24.0,0.645,69.4,24.2,76.1,23.4
17-18,SPRING,Dept,IPO,EVSM,Environmental Science and Management,3.0,0.783,77.8,23.2,81.3,20.9
17-18,SPRING,Dept,IPO,IDPO,Interdisciplinary Programs Office,1.0,0.526,87.5,17.7,90.0,17.5
17-18,SPRING,Dept,IPO,RMBI,Risk Management and Business Intelligence,4.0,0.423,75.4,28.8,83.8,26.8
17-18,SPRING,Dept,IPO,TEMG,Technology and Management,2.0,0.439,86.1,17.4,85.4,17.3
17-18,SPRING,School,OTHERS,-,-,10.0,0.518,82.3,20.8,83.4,20.5
17-18,SPRING,Dept,OTHERS,SAO,Student Affairs Office,2.0,0.522,94.8,10.4,95.8,9.5
17-18,SPRING,Dept,OTHERS,UCE,Undergraduate Core Education,8.0,0.517,78.9,21.6,80.1,21.4
,,,,,,,,,,,
,,,,,,,,,,,
"Note 1: The response rate shown is the response rate for the instructor/course overall question, whichever is the higher. It is calculated as the number of responses received for the question divided by the maximum possible number of responses.",,,,,,,,,,,
,,,,,,,,,,,
Report prepared by OIR,,,,,,,,,,,
2018-06-20 00:00:00,,,,,,,,,,,
