Academic Year,Term,Level of Statistics,School,Department Code,Department Name,Number of Sections Evaluated,Response Rate,Course Overall - Mean,Course Overall - SD,Instructor Overall - Mean,Instructor Overall - SD
19-20,SPRING,Dept,SSCI,ENTR-SSCI,Entrepreneurship,1.0,0.235,77.2,23.7,80.4,21.3
19-20,SPRING,Dept,SSCI,LIFS,Life Science,32.0,0.311,77.1,20.3,79.6,21.3
19-20,SPRING,Dept,SSCI,MAED,MSc Program in Mathematics for Educators,4.0,0.624,77.6,22.3,80.2,20.8
19-20,SPRING,Dept,SSCI,MSDM,MSc in Data-Driven Modeling Program,5.0,0.261,86.2,18.1,90.8,13.5
19-20,SPRING,Dept,SSCI,MATH,Mathematics,78.0,0.397,74.2,26.0,77.0,26.6
19-20,SPRING,Dept,SSCI,NANO,NANO Science and Technology,3.0,0.647,93.2,11.7,95.5,10.1
19-20,SPRING,Dept,SSCI,OCES,Ocean Science,11.0,0.352,70.3,20.1,70.1,23.5
19-20,SPRING,Dept,SSCI,PHYS,Physics,35.0,0.39,74.0,24.5,77.3,24.1
19-20,SPRING,Dept,SSCI,SCIE,School of Science,3.0,0.295,68.4,26.0,67.7,25.5
19-20,SPRING,Dept,SSCI,CSIC,Scientific Computation,1.0,0.538,92.9,12.2,92.9,18.9
19-20,SPRING,Dept,SSCI,MAFS,Self-Financed MSc Program in Mathematics (Financial Mathematics and Statistics),7.0,0.35,90.3,18.0,92.8,16.4
19-20,SPRING,School,LANG/LABU/LAGR,-,-,374.0,0.53,74.4,24.1,82.7,21.5
19-20,SPRING,Dept,LANG/LABU/LAGR,LANG,Language,320.0,0.53,74.7,24.1,82.8,21.4
19-20,SPRING,Dept,LANG/LABU/LAGR,LABU,Language for Business,54.0,0.529,72.6,23.9,81.9,22.5
19-20,SPRING,School,IPO,-,-,44.0,0.518,77.6,23.9,81.8,23.3
19-20,SPRING,Dept,IPO,ENVR,Environment and Sustainability,25.0,0.564,72.4,24.4,76.7,25.0
19-20,SPRING,Dept,IPO,EVSM,Environmental Science and Management,4.0,0.632,79.9,20.1,86.4,18.5
19-20,SPRING,Dept,IPO,IDPO,Interdisciplinary Programs Office,2.0,0.467,89.3,13.4,92.9,12.2
19-20,SPRING,Dept,IPO,PPOL,Public Policy,11.0,0.406,87.0,21.6,90.2,19.0
19-20,SPRING,Dept,IPO,TEMG,Technology and Management,2.0,0.603,82.3,20.3,86.0,15.9
19-20,SPRING,School,OTHERS,-,-,2.0,0.415,86.8,17.9,89.7,12.7
19-20,SPRING,Dept,OTHERS,DSTO,Dean of Students' Office,2.0,0.415,86.8,17.9,89.7,12.7
,,,,,,,,,,,
,,,,,,,,,,,
"Note 1: The response rate shown is the response rate for the instructor/course overall question, whichever is the higher. It is calculated as the number of responses received for the question divided by the maximum possible number of responses.",,,,,,,,,,,
,,,,,,,,,,,
Report prepared by OIR,,,,,,,,,,,
2020-06-26 00:00:00,,,,,,,,,,,
