Academic Year,Term,Level of Statistics,School,Department Code,Department Name,Number of Sections Evaluated,Response Rate,Course Overall - Mean,Course Overall - SD,Instructor Overall - Mean,Instructor Overall - SD
16-17,SPRING,Dept,SENG,MECH,Mechanical Engineering,34.0,0.421,69.5,25.7,74.6,26.2
16-17,SPRING,Dept,SENG,ENGG,School of Engineering,4.0,0.317,58.6,27.9,68.6,23.3
16-17,SPRING,School,SHSS,-,-,103.0,0.532,74.5,25.4,79.8,23.8
16-17,SPRING,Dept,SHSS,SSMA,Graduate Diploma and MA Programs in Social Science,4.0,0.886,89.2,17.4,92.7,15.9
16-17,SPRING,Dept,SHSS,HUMA,Humanities,44.0,0.544,69.6,27.2,75.8,25.6
16-17,SPRING,Dept,SHSS,HMMA,MA Program in Chinese Culture,2.0,0.655,90.8,18.8,92.8,12.9
16-17,SPRING,Dept,SHSS,MGCS,MSc Program in Global China Studies,3.0,0.663,87.3,20.0,91.0,15.6
16-17,SPRING,Dept,SHSS,MALE,MSc Program in International Language Education,8.0,0.909,89.0,14.1,91.9,12.5
16-17,SPRING,Dept,SHSS,SOSC,Social Science,42.0,0.484,77.1,23.2,81.6,22.3
16-17,SPRING,School,SSCI,-,-,225.0,0.441,72.0,25.0,76.5,24.2
16-17,SPRING,Dept,SSCI,CHMS,Analytical Chemistry,5.0,0.695,89.0,16.1,90.6,18.5
16-17,SPRING,Dept,SSCI,CHEM,Chemistry,44.0,0.479,67.0,23.3,71.7,23.7
16-17,SPRING,Dept,SSCI,ENTR-SSCI,Entrepreneurship,2.0,0.466,76.0,22.9,83.0,20.1
16-17,SPRING,Dept,SSCI,ENVS,Environmental Science,9.0,0.432,78.8,21.0,80.5,20.4
16-17,SPRING,Dept,SSCI,LIFS,Life Science,26.0,0.35,74.2,21.6,76.7,22.8
16-17,SPRING,Dept,SSCI,MAED,MSc Program in Mathematics for Educators,4.0,0.778,88.1,15.8,88.7,14.8
16-17,SPRING,Dept,SSCI,MATH,Mathematics,74.0,0.451,69.7,28.0,75.3,26.9
16-17,SPRING,Dept,SSCI,NANO,NANO Science and Technology,2.0,0.667,81.3,12.5,87.5,14.4
16-17,SPRING,Dept,SSCI,PHYS,Physics,48.0,0.458,70.3,25.9,76.7,23.1
16-17,SPRING,Dept,SSCI,SCIE,School of Science,5.0,0.381,66.4,24.6,72.3,24.2
16-17,SPRING,Dept,SSCI,MAFS,Self-Financed MSc Program in Mathematics (Financial Mathematics and Statistics),8.0,0.566,90.3,18.9,91.1,18.1
16-17,SPRING,School,LANG/LABU/LAGR,-,-,376.0,0.685,73.1,24.5,83.2,20.9
16-17,SPRING,Dept,LANG/LABU/LAGR,LANG,Language,310.0,0.696,74.0,24.1,83.7,20.4
16-17,SPRING,Dept,LANG/LABU/LAGR,LABU,Language for Business,66.0,0.629,68.2,26.0,80.8,23.4
16-17,SPRING,School,IPO,-,-,34.0,0.581,74.5,22.8,80.4,22.4
16-17,SPRING,Dept,IPO,ENVR,Environment and Sustainability,28.0,0.59,73.7,23.2,79.7,22.5
16-17,SPRING,Dept,IPO,EVSM,Environmental Science and Management,2.0,0.613,77.6,19.9,84.6,17.7
16-17,SPRING,Dept,IPO,RMBI,Risk Management and Business Intelligence,3.0,0.488,75.4,22.3,79.6,25.8
16-17,SPRING,Dept,IPO,TEMG,Technology and Management,1.0,0.667,91.7,12.3,93.8,11.3
16-17,SPRING,School,OTHERS,-,-,11.0,0.396,85.7,17.9,88.7,17.1
16-17,SPRING,Dept,OTHERS,SAO,Student Affairs Office,2.0,0.509,87.0,20.1,92.6,15.2
16-17,SPRING,Dept,OTHERS,UCE,Undergraduate Core Education,9.0,0.358,85.1,16.9,86.8,17.7
,,,,,,,,,,,
,,,,,,,,,,,
"Note 1: The response rate shown is the response rate for the instructor/course overall question, whichever is the higher. It is calculated as the number of responses received for the question divided by the maximum possible number of responses.",,,,,,,,,,,
,,,,,,,,,,,
Report prepared by OIR,,,,,,,,,,,
2017-06-21 00:00:00,,,,,,,,,,,
