Academic Year,Term,Level of Statistics,School,Department Code,Department Name,Number of Sections Evaluated,Response Rate,Course Overall - UG (Small),Course Overall - UG (Medium),Course Overall - UG (Large),Course Overall - UG Mean,Course Overall - PG (Small),Course Overall - PG (Medium),Course Overall - PG Mean,Course Overall - Overall,Instructor Overall - UG (Small),Instructor Overall - UG (Medium),Instructor Overall - UG (Large),Instructor Overall - UG Mean,Instructor Overall - PG (Small),Instructor Overall - PG (Medium),Instructor Overall - PG Mean,Instructor Overall - Overall
21-22,SUMMER,Dept,SSCI,PHYS,Physics,4.0,0.345,4.56,4.2,,4.28,,,,4.28,4.78,4.57,,4.62,,,,4.62
21-22,SUMMER,Dept,SSCI,MAFS,Self-Financed MSc Program in Mathematics (Financial Mathematics and Statistics),2.0,0.286,,,,,,4.55,4.55,4.55,,,,,,4.5,4.5,4.5
21-22,SUMMER,School,LANG/LABU/LAGR,-,-,8.0,0.636,3.72,,,3.72,,,,3.72,4.35,,,4.35,,,,4.35
21-22,SUMMER,Dept,LANG/LABU/LAGR,LANG,Language,6.0,0.644,3.69,,,3.69,,,,3.69,4.31,,,4.31,,,,4.31
21-22,SUMMER,Dept,LANG/LABU/LAGR,LABU,Language for Business,2.0,0.588,3.9,,,3.9,,,,3.9,4.6,,,4.6,,,,4.6
21-22,SUMMER,School,IPO,-,-,3.0,0.615,,4.08,,4.08,,4.49,4.49,4.38,,4.15,,4.15,,4.63,4.63,4.5
21-22,SUMMER,Dept,IPO,PPOL,Public Policy,3.0,0.615,,4.08,,4.08,,4.49,4.49,4.38,,4.15,,4.15,,4.63,4.63,4.5
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Key:,,,,,,,,,,,,,,,,,,,,,,,
Small UG: Undergraduate courses with enrolment up to 20,,,,,,,,,,,,,,,,,,,,,,,
Medium UG: Undergraduate courses with enrolment from 21-100,,,,,,,,,,,,,,,,,,,,,,,
Large UG: Undergraduate courses with enrolment over 100,,,,,,,,,,,,,,,,,,,,,,,
UG Mean: Mean of responses of all UG courses,,,,,,,,,,,,,,,,,,,,,,,
Small PG: Postgraduate courses with enrolment up to 20,,,,,,,,,,,,,,,,,,,,,,,
Medium PG: Postgraduate courses with enrolment from 21-100,,,,,,,,,,,,,,,,,,,,,,,
PG Mean: Mean of responses of all PG courses,,,,,,,,,,,,,,,,,,,,,,,
Overall: Mean of responses of all courses,,,,,,,,,,,,,,,,,,,,,,,
"If there is no entry, there were no classes of the type indicated.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Report prepared by OIR,,,,,,,,,,,,,,,,,,,,,,,
2022-08-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,,
