Academic Year,Term,Level of Statistics,School,Department Code,Department Name,No. of Sections Evaluated,Response Rate,Course Overall - UG (Small),Course Overall - UG (Medium),Course Overall - UG (Large),Course Overall - UG Mean,Course Overall - PG (Small),Course Overall - PG (Medium),Course Overall - PG Mean,Course Overall - Overall,Instructor Overall - UG (Small),Instructor Overall - UG (Medium),Instructor Overall - UG (Large),Instructor Overall - UG Mean,Instructor Overall - PG (Small),Instructor Overall - PG (Medium),Instructor Overall - PG Mean,Instructor Overall - Overall
25-26,Fall,Department,SSCI,NANO,NANO Science and Technology,1.0,0.75,-,-,-,-,4.67,-,4.67,4.67,-,-,-,-,4.83,-,4.83,4.83
25-26,Fall,Department,SSCI,OCES,Ocean Science,22.0,0.506,3.75,4.21,4.12,4.15,4.47,4.41,4.41,4.2,4.25,4.49,4.24,4.3,4.71,4.49,4.52,4.33
25-26,Fall,Department,SSCI,PHYS,Physics,39.0,0.431,4.25,3.99,3.94,3.96,4.78,4.71,4.73,4.0,4.67,4.08,4.11,4.1,4.83,4.76,4.78,4.14
25-26,Fall,Department,SSCI,SCIE,School of Science,2.0,0.556,4.25,4.59,-,4.48,-,-,-,4.48,3.88,4.59,-,4.36,-,-,-,4.36
25-26,Fall,Department,SSCI,MAFS,Self-Financed MSc Program in Mathematics (Financial Mathematics and Statistics),9.0,0.364,-,-,-,-,4.67,4.64,4.64,4.64,-,-,-,-,4.67,4.72,4.72,4.72
25-26,Fall,School,LANG/LABU/LAGR,-,-,327.0,0.629,3.89,4.01,-,3.94,4.83,4.65,4.7,4.04,4.3,4.35,-,4.32,4.85,4.78,4.8,4.38
25-26,Fall,Department,LANG/LABU/LAGR,LANG,Language,317.0,0.637,3.91,4.01,-,3.96,4.83,4.65,4.7,4.06,4.32,4.35,-,4.33,4.85,4.78,4.8,4.39
25-26,Fall,Department,LANG/LABU/LAGR,LABU,Language for Business,10.0,0.327,2.96,-,-,2.96,-,-,-,2.96,3.7,-,-,3.7,-,-,-,3.7
25-26,Fall,School,AIS,-,-,105.0,0.558,4.47,4.07,-,4.1,4.49,4.6,4.54,4.4,4.64,4.24,-,4.26,4.62,4.65,4.61,4.49
25-26,Fall,Department,AIS,CTDL,Critical Thinking and Data Literacy,4.0,0.302,-,3.77,-,3.77,-,-,-,3.77,-,3.98,-,3.98,-,-,-,3.98
25-26,Fall,Department,AIS,AMCC,Division of Arts and Machine Creativity,11.0,0.814,-,-,-,-,4.52,4.5,4.5,4.5,-,-,-,-,4.67,4.61,4.63,4.63
25-26,Fall,Department,AIS,EMIA,Division of Emerging Interdisciplinary Areas,9.0,0.681,-,4.2,-,4.2,4.9,4.9,4.9,4.34,-,4.4,-,4.4,5,4.95,4.97,4.51
25-26,Fall,Department,AIS,ENVR,Environment and Sustainability,19.0,0.465,4,3.92,-,3.92,4.24,4.71,4.31,4.06,4.14,4.18,-,4.18,4.61,4.82,4.47,4.28
25-26,Fall,Department,AIS,EVSM,Environmental Science and Management,5.0,0.575,-,-,-,-,-,4.57,4.56,4.56,-,-,-,-,-,4.62,4.61,4.61
25-26,Fall,Department,AIS,ISDN,Integrative Systems and Design,24.0,0.539,4.52,4.19,-,4.25,4.5,4.69,4.65,4.47,4.7,4.29,-,4.36,4.57,4.75,4.71,4.53
25-26,Fall,Department,AIS,AISC,Interdisciplinary Studies,1.0,1.0,4.78,-,-,4.78,-,-,-,4.78,4.78,-,-,4.78,-,-,-,4.78
