Academic Year,Term,Level of Statistics,School,Department Code,Department Name,Number of Sections Evaluated,Response Rate,Course Overall - UG (Small),Course Overall - UG (Medium),Course Overall - UG (Large),Course Overall - UG Mean,Course Overall - PG (Small),Course Overall - PG (Medium),Course Overall - PG Mean,Course Overall - Overall,Instructor Overall - UG (Small),Instructor Overall - UG (Medium),Instructor Overall - UG (Large),Instructor Overall - UG Mean,Instructor Overall - PG (Small),Instructor Overall - PG (Medium),Instructor Overall - PG Mean,Instructor Overall - Overall
17-18,FALL,Dept,SENG,ENGG,School of Engineering,5.0,0.559,100.0,66.06,,66.6,68.75,,68.75,66.73,100.0,78.15,,78.51,78.13,,78.13,78.49
17-18,FALL,School,SHSS,-,-,90.0,0.553,80.68,74.38,73.26,73.9,90.0,87.34,88.24,76.57,84.66,80.16,79.65,79.99,94.63,91.28,92.36,82.4
17-18,FALL,Dept,SHSS,SSMA,Graduate Diploma and MA Programs in Social Science,4.0,0.526,,,,,95.83,88.89,89.71,89.71,,,,,100.0,91.67,92.65,92.65
17-18,FALL,Dept,SHSS,HUMA,Humanities,40.0,0.55,82.05,73.97,68.35,71.04,98.11,,98.11,72.17,85.9,79.7,75.8,77.68,98.86,,98.86,78.56
17-18,FALL,Dept,SHSS,HMMA,MA Program in Chinese Culture,3.0,0.865,,,,,95.45,92.29,92.47,92.47,,,,,100.0,94.43,94.76,94.76
17-18,FALL,Dept,SHSS,MGCS,MSc Program in Global China Studies,3.0,0.657,,,,,96.15,86.21,88.03,88.03,,,,,98.08,91.81,92.96,92.96
17-18,FALL,Dept,SHSS,MILE,MSc Program in International Language Education,8.0,0.776,,,,,83.62,82.42,82.89,82.89,,,,,88.36,89.88,89.4,89.4
17-18,FALL,Dept,SHSS,HSS,School of Humanities & Social Science,2.0,0.618,91.25,,,91.25,,,,91.25,92.5,,,92.5,,,,92.5
17-18,FALL,Dept,SHSS,SOSC,Social Science,30.0,0.505,71.55,75.26,78.56,77.5,83.33,74.22,79.82,77.66,77.59,81.14,83.81,82.94,93.63,78.13,87.65,83.27
17-18,FALL,School,SSCI,-,-,213.0,0.498,78.33,70.76,66.4,67.7,88.66,87.53,88.57,71.18,85.27,74.31,68.93,70.5,91.9,90.26,91.21,73.73
17-18,FALL,Dept,SSCI,CHMS,Analytical Chemistry,4.0,0.588,,,,,,90.09,90.09,90.09,,,,,,92.38,92.38,92.38
17-18,FALL,Dept,SSCI,CHEM,Chemistry,19.0,0.559,80.36,66.88,68.94,69.24,89.52,96.74,92.59,70.7,85.71,72.8,70.64,72.21,94.35,98.91,96.3,73.72
17-18,FALL,Dept,SSCI,ENTR-SSCI,Entrepreneurship,2.0,0.674,87.93,,,87.93,,,,87.93,91.96,,,91.96,,,,91.96
17-18,FALL,Dept,SSCI,ENVS,Environmental Science,8.0,0.499,,70.75,,70.75,,85.9,85.9,78.7,,72.41,,72.41,,87.23,87.23,80.76
17-18,FALL,Dept,SSCI,LIFS,Life Science,28.0,0.424,83.33,70.63,68.05,68.53,87.76,84.88,85.34,71.75,86.11,73.14,69.64,70.33,88.01,87.91,87.92,73.69
17-18,FALL,Dept,SSCI,MAED,MSc Program in Mathematics for Educators,5.0,0.758,,,,,93.18,82.45,85.87,85.87,,,,,98.86,89.36,92.39,92.39
17-18,FALL,Dept,SSCI,MATH,Mathematics,79.0,0.542,82.56,70.61,66.12,67.15,89.06,89.06,89.06,68.07,88.64,72.66,70.32,71.01,92.37,95.31,93.11,71.93
17-18,FALL,Dept,SSCI,NANO,NANO Science and Technology,2.0,0.682,,,,,88.33,,88.33,88.33,,,,,95.0,,95.0,95.0
17-18,FALL,Dept,SSCI,PHYS,Physics,52.0,0.547,71.76,75.53,62.19,65.91,87.5,91.67,89.83,66.8,82.4,80.67,65.75,69.05,94.23,96.97,95.76,69.71
17-18,FALL,Dept,SSCI,SCIE,School of Science,4.0,0.585,92.19,65.56,,68.38,,,,68.38,93.75,71.15,,74.17,,,,74.17
17-18,FALL,Dept,SSCI,CSIC,Scientific Computation,1.0,0.8,,,,,,91.25,91.25,91.25,,,,,,93.75,93.75,93.75
17-18,FALL,Dept,SSCI,MAFS,Self-Financed MSc Program in Mathematics (Financial Mathematics and Statistics),10.0,0.483,,,,,75.0,92.22,93.38,93.38,,,,,91.67,93.75,94.87,94.87
17-18,FALL,School,LANG/LABU/LAGR,-,-,414.0,0.75,72.37,87.24,,72.93,88.77,93.75,89.11,73.98,83.22,91.28,,83.52,92.56,96.0,92.81,84.12
17-18,FALL,Dept,LANG/LABU/LAGR,LANG,Language,356.0,0.758,72.36,87.24,,73.02,88.77,93.75,89.11,74.22,83.16,91.28,,83.51,92.56,96.0,92.81,84.2
17-18,FALL,Dept,LANG/LABU/LAGR,LABU,Language for Business,58.0,0.701,72.42,,,72.42,,,,72.42,83.57,,,83.57,,,,83.57
17-18,FALL,School,IPO,-,-,30.0,0.599,80.3,72.27,,73.06,81.25,82.55,82.49,77.41,86.36,80.96,,81.5,93.75,86.09,86.41,83.78
17-18,FALL,Dept,IPO,ENVR,Environment and Sustainability,19.0,0.566,79.31,69.86,,71.01,,79.27,79.27,73.73,85.34,78.78,,79.59,,82.69,82.69,80.63
17-18,FALL,Dept,IPO,EVSM,Environmental Science and Management,3.0,0.669,,,,,,84.97,84.97,84.97,,,,,,88.61,88.61,88.61
17-18,FALL,Dept,IPO,PPOL,Public Policy,3.0,0.923,,,,,81.25,,81.25,81.25,,,,,93.75,,93.75,93.75
17-18,FALL,Dept,IPO,RMBI,Risk Management and Business Intelligence,4.0,0.586,87.5,76.28,,76.83,,,,76.83,93.75,84.94,,85.37,,,,85.37
17-18,FALL,Dept,IPO,TEMG,Technology and Management,1.0,0.714,,85.0,,85.0,,,,85.0,,90.0,,90.0,,,,90.0
17-18,FALL,School,OTHERS,-,-,10.0,0.665,78.57,83.15,,80.5,,,,80.5,81.35,85.33,,83.03,,,,83.03
17-18,FALL,Dept,OTHERS,SAO,Student Affairs Office,2.0,0.66,,86.36,,86.36,,,,86.36,,90.15,,90.15,,,,90.15
17-18,FALL,Dept,OTHERS,UCE,Undergraduate Core Education,8.0,0.667,78.57,75.0,,77.96,,,,77.96,81.35,73.08,,79.93,,,,79.93
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Key:,,,,,,,,,,,,,,,,,,,,,,,
UG(Small): Undergraduate courses with enrolment up to 20,,,,,,,,,,,,,,,,,,,,,,,
UG(Medium): Undergraduate courses with enrolment from 21-100,,,,,,,,,,,,,,,,,,,,,,,
UG(Large): Undergraduate courses with enrolment over 100,,,,,,,,,,,,,,,,,,,,,,,
UG Mean: Mean of responses of all UG courses,,,,,,,,,,,,,,,,,,,,,,,
PG(Small): Postgraduate courses with enrolment up to 20,,,,,,,,,,,,,,,,,,,,,,,
PG(Medium): Postgraduate courses with enrolment from 21-100,,,,,,,,,,,,,,,,,,,,,,,
PG Mean: Mean of responses of all PG courses,,,,,,,,,,,,,,,,,,,,,,,
"If there is no entry, there were no classes of the type indicated.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Report prepared by OIR,,,,,,,,,,,,,,,,,,,,,,,
2018-01-17 00:00:00,,,,,,,,,,,,,,,,,,,,,,,
